last_unit_id,officer_age_incident,coaccused_count,complaint_percentile
Unit 3,26.0,2,80.9293
Unit 23,46.0,3,57.7548
Unit 7,40.0,2,72.9815
Unit 3,48.0,2,76.3879
Unit 20,44.0,1,91.9522
Unit 6,46.0,1,95.2914
Unit 20,40.0,2,26.6262
Unit 11,28.0,2,95.1702
Unit 5,28.0,2,92.0217
Unit 225,36.0,1,45.3708
Unit 212,33.0,2,92.4306
Unit 208,50.0,1,74.3384
Unit 12,26.0,4,56.3983
Unit 3,38.0,2,85.3999
Unit 83,33.0,2,21.6018
Unit 175,33.0,2,92.0446
Unit 2,30.0,1,88.0264
Unit 105,40.0,8,68.3906
Unit 153,26.0,2,82.5991
Unit 215,33.0,3,95.4415
Unit 35,26.0,5,34.8095
Unit 16,30.0,7,97.971
Unit 26,40.0,1,67.8652
Unit 225,47.0,2,63.2681
Unit 3,52.0,1,97.4476
Unit 13,41.0,3,92.2662
Unit 6,34.0,19,99.5568
Unit 174,30.0,8,82.3889
Unit 2,49.0,2,63.1043
Unit 215,29.0,10,71.4761
Unit 12,30.0,2,92.7799
Unit 17,39.0,2,76.7223
Unit 17,43.0,1,80.9598
Unit 16,42.0,1,74.9264
Unit 83,30.0,3,89.1674
Unit 153,53.0,5,84.4664
Unit 3,36.0,2,92.2319
Unit 7,37.0,5,94.2837
Unit 153,31.0,1,97.9749
Unit 8,41.0,2,87.2492
Unit 2,41.0,1,84.5905
Unit 2,33.0,1,84.372
Unit 208,29.0,2,71.5278
Unit 23,47.0,1,27.817
Unit 31,50.0,2,93.8191
Unit 55,33.0,2,93.6189
Unit 3,44.0,2,90.3213
Unit nan,57.0,1,59.0924
Unit 3,45.0,2,94.4727
Unit 10,37.0,1,76.7303
Unit 3,47.0,2,90.6246
Unit 153,26.0,1,72.7064
Unit 16,25.0,1,82.1635
Unit 4,31.0,1,53.5749
Unit 19,49.0,1,74.6307
Unit 20,39.0,1,55.2787
Unit 183,33.0,11,97.8908
Unit 19,27.0,2,79.8365
Unit 9,59.0,2,99.9146
Unit 117,42.0,1,72.1571
Unit 3,30.0,2,73.2319
Unit 25,41.0,1,55.2489
Unit 149,46.0,8,98.9416
Unit 182,29.0,1,98.5404
Unit 8,34.0,2,99.1861
Unit 12,41.0,1,90.5581
Unit 12,33.0,2,78.0597
Unit 21,28.0,2,53.4255
Unit 12,35.0,4,98.4716
Unit 225,49.0,1,85.7056
Unit nan,22.0,5,
Unit 225,49.0,1,78.3413
Unit 9,33.0,6,72.6644
Unit 112,36.0,1,93.5998
Unit 12,27.0,2,68.3925
Unit 83,35.0,3,83.7415
Unit 112,34.0,4,92.4191
Unit 7,63.0,2,98.8091
Unit 179,30.0,2,83.0614
Unit 42,26.0,3,54.0063
Unit 16,37.0,2,50.7929
Unit 200,47.0,1,55.4915
Unit 18,49.0,2,51.7586
Unit 15,40.0,5,27.0043
Unit 149,29.0,9,98.3531
Unit 26,32.0,1,99.316
Unit 13,37.0,1,65.8859
Unit 11,40.0,5,35.2145
Unit 75,35.0,7,92.037
Unit 149,29.0,2,82.4004
Unit 82,28.0,2,56.9371
Unit 23,48.0,1,99.7402
Unit 12,29.0,1,98.9263
Unit 16,46.0,2,88.034
Unit 149,40.0,8,72.7292
Unit 149,32.0,1,95.9803
Unit 12,47.0,1,56.5787
Unit 12,35.0,2,96.7177
Unit 17,41.0,2,57.8006
Unit 10,33.0,1,56.7384
Unit 5,35.0,2,89.0337
Unit 12,39.0,1,58.7559
Unit 179,28.0,2,42.7305
Unit 107,37.0,3,85.0827
Unit 212,37.0,1,75.7337
Unit 19,52.0,3,80.3298
Unit 7,42.0,2,91.6702
Unit 7,43.0,1,49.6491
Unit 7,55.0,3,97.7227
Unit 215,45.0,2,63.4423
Unit 3,57.0,2,73.6592
Unit 132,61.0,1,48.0185
Unit 3,29.0,2,49.3523
Unit 50,54.0,3,60.8422
Unit 17,55.0,2,72.5526
Unit 122,52.0,10,77.9671
Unit 9,41.0,8,84.8649
Unit 26,32.0,3,75.8263
Unit 149,47.0,1,96.4388
Unit 4,29.0,10,47.6291
Unit 225,57.0,1,72.0199
Unit 212,36.0,3,54.719
Unit 20,34.0,2,86.3398
Unit 2,55.0,3,36.5748
Unit 10,26.0,1,78.4647
Unit 107,34.0,3,93.9857
Unit 17,29.0,1,92.721
Unit 3,35.0,3,95.3307
Unit 13,30.0,3,93.0496
Unit 2,38.0,1,87.0382
Unit 208,30.0,2,43.8577
Unit 12,37.0,1,82.2771
Unit 42,30.0,1,70.0443
Unit 19,34.0,2,76.6001
Unit 93,32.0,1,24.6875
Unit 12,30.0,3,89.7367
Unit 5,35.0,3,95.2772
Unit 225,27.0,5,40.6977
Unit nan,40.0,1,89.2904
Unit 20,45.0,1,82.3774
Unit 14,34.0,4,91.4953
Unit 173,31.0,4,93.1871
Unit 153,37.0,5,95.0671
Unit 20,46.0,1,80.1327
Unit 7,47.0,1,81.3974
Unit 215,41.0,3,97.3406
Unit 7,46.0,1,85.2648
Unit 4,43.0,3,80.4937
Unit 136,43.0,4,77.0519
Unit 15,48.0,1,95.6326
Unit 2,49.0,1,58.0529
Unit 4,31.0,1,73.4592
Unit 86,49.0,5,36.2301
Unit 21,30.0,1,77.7655
Unit 9,56.0,2,81.476
Unit 16,40.0,1,78.159
Unit 19,29.0,5,74.8838
Unit 5,48.0,4,86.6914
Unit 7,36.0,4,85.7361
Unit 42,32.0,1,65.8935
Unit 200,46.0,7,54.1019
Unit 8,37.0,2,49.8461
Unit 215,41.0,2,55.4774
Unit 19,48.0,1,46.9072
Unit 31,51.0,2,63.7811
Unit 36,56.0,1,63.8952
Unit 3,43.0,8,95.1486
Unit 11,29.0,2,89.0795
Unit 2,27.0,2,57.7127
Unit 10,36.0,4,85.782
Unit 3,37.0,1,82.7137
Unit 117,53.0,1,99.5189
Unit 149,26.0,6,94.2876
Unit 14,25.0,1,93.6964
Unit 26,53.0,3,17.912
Unit 2,41.0,1,85.5986
Unit 8,27.0,1,87.1499
Unit 2,31.0,1,94.4748
Unit 9,39.0,1,88.3497
Unit 2,33.0,8,96.1293
Unit 6,41.0,1,72.5172
Unit 25,45.0,2,81.0885
Unit 9,40.0,3,76.7812
Unit 21,34.0,1,99.209
Unit 18,28.0,2,61.0408
Unit 16,41.0,3,17.7334
Unit 2,45.0,1,66.6075
Unit 215,40.0,1,51.1673
Unit 6,61.0,2,57.8006
Unit 212,31.0,4,99.6026
Unit 15,34.0,2,91.8919
Unit 170,49.0,1,67.3155
Unit 13,30.0,4,38.8483
Unit 8,30.0,2,98.5612
Unit 9,42.0,8,82.7137
Unit 153,41.0,2,80.4937
Unit 208,29.0,4,74.2157
Unit 10,26.0,1,81.4566
Unit 225,28.0,168,66.1075
Unit 131,28.0,2,80.9178
Unit 4,27.0,6,59.0107
Unit 19,44.0,1,43.3335
Unit 13,27.0,4,65.6643
Unit 181,40.0,4,91.7799
Unit 149,36.0,7,81.1463
Unit 25,39.0,2,62.0458
Unit 6,53.0,9,58.0672
Unit 131,41.0,3,72.374
Unit 215,40.0,6,52.1345
Unit 5,41.0,2,88.9961
Unit 208,41.0,3,85.9845
Unit 225,46.0,2,93.9857
Unit 152,32.0,1,53.8726
Unit 8,34.0,1,96.1713
Unit 13,27.0,4,87.6543
Unit 35,31.0,4,80.0695
Unit 153,27.0,6,96.5305
Unit 17,32.0,1,90.7378
Unit 20,28.0,2,40.201
Unit 14,39.0,1,57.8714
Unit 17,36.0,3,84.7433
Unit 183,27.0,2,98.6588
Unit 7,60.0,1,63.2203
Unit 35,39.0,4,45.539
Unit 3,33.0,2,90.5506
Unit nan,28.0,6,
Unit 2,34.0,3,22.8306
Unit 17,46.0,5,63.4587
Unit 11,54.0,2,72.4311
Unit 3,56.0,2,68.297
Unit 148,43.0,2,65.8284
Unit 208,40.0,2,79.2289
Unit 142,49.0,1,46.4686
Unit 10,45.0,7,91.2499
Unit 14,51.0,3,76.2792
Unit 18,45.0,1,60.2002
Unit 9,42.0,7,87.5056
Unit 25,34.0,3,40.201
Unit 4,37.0,1,88.835
Unit 8,42.0,13,42.8407
Unit 4,30.0,2,94.9677
Unit 3,51.0,1,91.124
Unit 7,36.0,2,96.8629
Unit 208,26.0,6,88.77
Unit 149,36.0,2,92.4076
Unit 12,44.0,7,68.2053
Unit 212,44.0,3,51.2255
Unit 15,49.0,2,98.81
Unit 122,52.0,1,95.3231
Unit 7,26.0,2,44.0411
Unit 7,47.0,2,76.4014
Unit 175,34.0,3,94.4633
Unit 225,32.0,3,91.7581
Unit 8,38.0,2,71.6518
Unit 225,24.0,2,87.8797
Unit 19,60.0,2,83.0079
Unit 3,51.0,1,17.1879
Unit 208,33.0,1,86.4086
Unit 151,33.0,2,99.0906
Unit 19,25.0,3,83.0538
Unit 5,29.0,5,75.7785
Unit 8,48.0,4,95.4364
Unit 208,30.0,1,66.6501
Unit 25,34.0,4,43.9188
Unit 26,32.0,2,76.3823
Unit 8,53.0,3,68.7674
Unit 16,32.0,2,67.8117
Unit 18,29.0,2,96.072
Unit 19,29.0,1,56.3181
Unit 215,38.0,5,75.7671
Unit 17,27.0,2,87.6237
Unit 2,46.0,3,30.8815
Unit 119,40.0,4,62.0104
Unit 82,42.0,5,80.7673
Unit 26,36.0,1,92.037
Unit 225,54.0,1,53.461
Unit 18,34.0,1,98.1201
Unit 6,47.0,12,42.8108
Unit 4,27.0,1,79.2184
Unit 107,50.0,4,63.5089
Unit 7,39.0,6,72.7752
Unit 85,28.0,1,94.001
Unit 215,62.0,2,35.842
Unit 35,31.0,7,54.0063
Unit 212,42.0,1,60.2996
Unit 25,44.0,9,76.5083
Unit 9,46.0,5,45.7404
Unit 26,32.0,49,93.4126
Unit 12,34.0,6,98.4716
Unit 30,24.0,1,
Unit 10,31.0,4,99.6637
Unit 215,32.0,2,82.6296
Unit 12,44.0,1,69.541
Unit 225,38.0,2,55.2971
Unit 8,28.0,2,66.78
Unit 36,50.0,4,71.3815
Unit 3,42.0,3,96.5496
Unit 7,30.0,13,95.239
Unit 173,41.0,2,98.911
Unit 19,49.0,3,82.8487
Unit 4,34.0,1,72.1923
Unit 8,30.0,2,92.9731
Unit 26,34.0,2,96.989
Unit 13,36.0,3,87.4288
Unit 206,45.0,1,77.4673
Unit 10,32.0,4,37.8663
Unit 215,38.0,4,66.7031
Unit 19,48.0,4,82.9228
Unit 8,29.0,1,62.7718
Unit 10,35.0,1,58.5648
Unit 4,36.0,6,76.9631
Unit 17,45.0,3,61.5758
Unit 208,30.0,2,41.7676
Unit 2,39.0,2,67.3571
Unit 23,32.0,2,99.0027
Unit 153,27.0,3,80.1536
Unit 26,32.0,2,98.7161
Unit 21,41.0,1,60.9797
Unit 12,45.0,2,92.5337
Unit 8,40.0,2,37.7785
Unit 10,35.0,11,81.105
Unit 212,34.0,2,92.4306
Unit 183,49.0,2,83.4282
Unit 9,31.0,2,83.0614
Unit 9,46.0,2,98.2232
Unit 9,36.0,1,92.442
Unit 136,30.0,2,33.8084
Unit 18,29.0,2,51.3496
Unit nan,47.0,3,59.0924
Unit 218,56.0,3,31.526
Unit 4,29.0,2,76.772
Unit nan,43.0,2,18.614
Unit 200,31.0,7,75.6961
Unit 153,32.0,1,42.9177
Unit 175,31.0,1,94.7232
Unit 17,35.0,2,67.777
Unit 136,51.0,3,51.1559
Unit 4,59.0,2,99.861
Unit 208,54.0,5,80.9576
Unit 26,49.0,13,79.7715
Unit 212,36.0,3,86.4895
Unit 6,32.0,2,82.4195
Unit 19,62.0,1,68.3464
Unit 2,46.0,2,53.6717
Unit 16,34.0,1,84.9566
Unit 3,40.0,2,91.0674
Unit 18,40.0,2,61.4688
Unit 212,30.0,2,94.3946
Unit 20,46.0,2,86.8119
Unit 80,44.0,8,66.3787
Unit 17,30.0,5,86.6379
Unit 18,28.0,2,74.9264
Unit 152,41.0,2,69.4177
Unit 182,31.0,8,85.9577
Unit 6,41.0,2,95.2543
Unit 5,38.0,1,94.0401
Unit 152,35.0,1,20.0795
Unit 20,44.0,9,36.4946
Unit 27,49.0,1,53.0139
Unit 11,53.0,3,99.6451
Unit 208,27.0,3,93.1222
Unit 24,42.0,1,95.0767
Unit 13,28.0,6,87.7613
Unit 149,44.0,6,78.3683
Unit 15,40.0,1,85.2717
Unit 16,30.0,1,75.9123
Unit 153,54.0,3,74.9264
Unit 7,29.0,1,78.5667
Unit 23,33.0,3,72.9319
Unit 6,31.0,2,65.3204
Unit 171,58.0,1,60.8224
Unit 149,34.0,1,93.959
Unit 17,58.0,3,71.8043
Unit 3,62.0,2,97.4556
Unit 12,29.0,1,82.3087
Unit 6,34.0,2,84.8267
Unit 4,43.0,3,87.6581
Unit 2,37.0,1,70.5055
Unit 13,47.0,1,63.7925
Unit 3,38.0,1,92.9529
Unit 3,34.0,10,66.1075
Unit 208,32.0,4,81.3381
Unit 149,35.0,1,90.4398
Unit 11,31.0,2,96.4579
Unit 193,36.0,3,78.266
Unit 208,50.0,1,82.3949
Unit 149,34.0,3,73.4592
Unit 3,27.0,1,92.4593
Unit 30,40.0,1,
Unit 20,48.0,2,94.8263
Unit 9,35.0,2,99.8777
Unit 225,31.0,4,44.3697
Unit 149,31.0,3,87.1736
Unit 10,23.0,2,80.123
Unit 20,28.0,2,92.87
Unit 24,49.0,2,47.1466
Unit 26,42.0,2,45.4034
Unit 12,41.0,3,76.4434
Unit 11,53.0,1,27.7968
Unit 171,31.0,3,39.0547
Unit 35,33.0,1,96.4617
Unit 3,41.0,1,93.3132
Unit 18,39.0,1,57.4171
Unit 153,24.0,2,98.8193
Unit 2,38.0,1,99.9007
Unit 24,42.0,4,98.4857
Unit 5,43.0,2,82.6911
Unit 170,34.0,1,53.0759
Unit 80,28.0,1,53.8726
Unit 225,50.0,3,81.4305
Unit 3,41.0,1,54.79
Unit 206,37.0,3,38.1338
Unit 26,32.0,1,77.4636
Unit 208,33.0,4,87.5511
Unit 7,33.0,3,53.2039
Unit 182,29.0,1,80.7573
Unit 6,41.0,5,54.2662
Unit 20,55.0,5,49.5359
Unit 128,28.0,2,26.2772
Unit 11,41.0,1,24.8426
Unit 15,44.0,1,89.7864
Unit 5,35.0,3,91.1238
Unit 80,38.0,1,27.989
Unit 13,41.0,1,80.6045
Unit 10,40.0,1,85.9195
Unit 8,46.0,1,97.0727
Unit 5,32.0,2,88.7471
Unit 19,29.0,2,96.6222
Unit 119,54.0,1,30.6973
Unit 25,62.0,5,50.7056
Unit 25,42.0,4,68.1868
Unit 7,40.0,2,74.8691
Unit 19,37.0,2,85.3234
Unit 149,29.0,12,89.5724
Unit 23,37.0,14,80.3905
Unit 25,34.0,2,65.0262
Unit 8,35.0,2,35.0269
Unit 9,25.0,2,57.3994
Unit 25,34.0,6,41.4734
Unit 5,37.0,5,54.782
Unit 23,28.0,2,34.4924
Unit 8,46.0,1,49.8461
Unit 9,53.0,1,96.1834
Unit 26,48.0,1,57.6592
Unit 19,33.0,7,96.1904
Unit 21,32.0,2,52.1952
Unit 19,29.0,1,96.6222
Unit 8,27.0,4,79.7104
Unit 11,53.0,1,73.7062
Unit 19,52.0,2,85.0827
Unit 12,46.0,1,99.488
Unit 2,41.0,1,86.9054
Unit 149,40.0,6,95.8695
Unit 12,34.0,2,95.6973
Unit 12,34.0,2,98.4716
Unit 9,41.0,1,85.0522
Unit 17,35.0,1,85.9042
Unit 2,53.0,1,27.8945
Unit 152,33.0,1,54.9654
Unit 5,30.0,1,69.6267
Unit 17,40.0,1,53.0778
Unit 6,35.0,2,63.3175
Unit 149,47.0,1,92.4076
Unit 6,49.0,2,42.8108
Unit 3,37.0,1,62.0458
Unit 152,51.0,3,54.8673
Unit 23,27.0,2,86.5392
Unit 80,30.0,1,94.3258
Unit 2,28.0,1,57.7127
Unit 5,47.0,3,97.5437
Unit 23,58.0,4,69.4659
Unit 170,53.0,1,43.3936
Unit 23,44.0,4,45.8026
Unit 23,30.0,1,84.7427
Unit 3,32.0,1,80.9981
Unit 13,36.0,1,43.0903
Unit 3,52.0,5,87.9591
Unit 7,35.0,2,90.0959
Unit 3,40.0,1,66.0502
Unit 22,46.0,3,65.6092
Unit 25,34.0,2,88.6158
Unit 149,41.0,4,76.8288
Unit 142,44.0,1,46.4686
Unit 10,31.0,6,88.407
Unit 180,52.0,1,79.8144
Unit 149,44.0,7,90.2723
Unit 26,51.0,1,43.3715
Unit 212,40.0,1,98.869
Unit 18,47.0,3,44.9734
Unit 200,40.0,1,45.1241
Unit 17,44.0,4,31.864
Unit 9,35.0,3,84.858
Unit 13,39.0,16,85.5527
Unit 9,42.0,2,96.7177
Unit 55,45.0,3,28.9965
Unit nan,45.0,1,53.278
Unit 25,33.0,5,75.5913
Unit 215,29.0,3,95.3842
Unit 212,44.0,2,87.895
Unit 15,32.0,2,66.8259
Unit 15,29.0,1,96.8247
Unit 5,32.0,2,99.0409
Unit 204,53.0,1,96.9508
Unit 3,55.0,2,91.93
Unit 16,47.0,1,61.6247
Unit 5,41.0,6,82.3087
Unit 87,53.0,3,92.5108
Unit 173,33.0,2,96.0873
Unit 19,48.0,1,58.2515
Unit 20,33.0,5,75.9658
Unit 174,34.0,1,94.8187
Unit 7,33.0,3,90.5012
Unit 4,57.0,3,63.1856
Unit 35,48.0,6,45.539
Unit 9,33.0,1,98.5748
Unit 11,54.0,1,84.0109
Unit 212,44.0,2,34.3164
Unit 7,29.0,2,98.9645
Unit 16,42.0,3,87.2836
Unit 20,47.0,3,97.6027
Unit nan,47.0,1,81.4861
Unit 11,38.0,1,96.584
Unit 20,27.0,2,40.201
Unit 5,30.0,1,53.5364
Unit 9,58.0,3,64.4197
Unit 2,53.0,2,61.9273
Unit 153,30.0,1,96.2287
Unit 208,35.0,5,88.7012
Unit 12,45.0,2,98.5709
Unit 112,43.0,1,95.9306
Unit 212,28.0,2,93.7144
Unit 115,52.0,1,51.9288
Unit 7,33.0,3,93.2203
Unit 6,30.0,2,82.4195
Unit 7,42.0,1,99.1823
Unit 12,37.0,2,95.4912
Unit 55,33.0,2,84.2459
Unit 20,28.0,1,58.9928
Unit 16,58.0,10,57.7548
Unit 149,30.0,3,94.0201
Unit 12,38.0,16,88.6783
Unit 5,29.0,4,69.0688
Unit 149,58.0,2,90.1557
Unit 7,39.0,3,98.613
Unit 208,27.0,6,95.4071
Unit 23,28.0,2,99.3529
Unit 13,46.0,1,84.8649
Unit 10,36.0,2,74.3991
Unit 8,30.0,3,92.5681
Unit 171,27.0,2,81.3878
Unit 9,31.0,2,70.3068
Unit 175,27.0,1,93.9246
Unit 21,30.0,1,99.125
Unit 11,42.0,2,24.8475
Unit 7,56.0,1,97.4392
Unit 21,36.0,3,97.802
Unit 215,34.0,1,50.8846
Unit 11,28.0,1,86.2749
Unit 173,34.0,2,97.8793
Unit 17,38.0,3,79.2612
Unit 174,36.0,2,97.5393
Unit 17,46.0,1,45.1645
Unit 9,38.0,1,96.5878
Unit 11,41.0,2,51.324
Unit 215,38.0,6,83.5352
Unit 149,34.0,12,88.1892
Unit 119,34.0,3,29.2807
Unit 13,47.0,4,61.964
Unit 153,53.0,3,93.5942
Unit 20,42.0,1,55.1332
Unit 12,33.0,2,82.5303
Unit 26,40.0,2,60.9568
Unit 19,41.0,2,72.6873
Unit 10,31.0,16,99.8281
Unit 153,29.0,13,86.9321
Unit 10,30.0,1,74.8882
Unit 8,37.0,2,94.257
Unit 149,40.0,7,99.3466
Unit 10,33.0,1,60.162
Unit 8,42.0,10,99.167
Unit 19,39.0,1,51.985
Unit 25,43.0,2,85.0445
Unit 175,31.0,2,96.0835
Unit 36,37.0,2,88.1604
Unit 175,31.0,2,99.4077
Unit 117,56.0,1,99.9299
Unit 149,33.0,1,99.316
Unit 80,26.0,1,46.0869
Unit 14,41.0,1,91.4953
Unit 212,42.0,1,67.8652
Unit 15,60.0,1,80.4231
Unit 23,28.0,2,96.5611
Unit 10,30.0,6,97.9634
Unit 136,56.0,7,39.2966
Unit 15,35.0,3,83.5581
Unit 36,41.0,3,54.6088
Unit 7,35.0,1,86.2023
Unit 19,34.0,1,63.7882
Unit 8,44.0,4,97.0727
Unit 149,44.0,11,66.9252
Unit nan,48.0,1,
Unit 12,54.0,6,67.0325
Unit nan,50.0,2,67.5139
Unit 9,33.0,2,
Unit 10,47.0,2,60.4333
Unit 5,52.0,3,57.7551
Unit 188,34.0,28,34.0186
Unit 149,42.0,2,84.8475
Unit 208,42.0,7,45.7224
Unit 4,34.0,2,72.0378
Unit 23,33.0,2,54.8737
Unit 5,48.0,2,95.174
Unit 153,35.0,10,84.6685
Unit 13,32.0,2,86.5615
Unit 21,40.0,3,87.9829
Unit 20,32.0,1,73.6617
Unit 15,29.0,1,89.0356
Unit 9,48.0,1,79.4047
Unit 11,29.0,2,87.5626
Unit 2,36.0,2,97.4093
Unit 7,28.0,2,75.3662
Unit 25,46.0,3,93.0381
Unit 8,31.0,12,93.787
Unit 119,26.0,3,90.6277
Unit 3,32.0,2,92.1134
Unit 11,28.0,2,94.7958
Unit 20,44.0,1,99.6449
Unit 23,40.0,1,63.1501
Unit 175,33.0,8,85.1744
Unit 8,47.0,1,66.4591
Unit 208,38.0,3,74.3384
Unit 93,44.0,2,42.7018
Unit 7,29.0,2,85.2547
Unit 10,39.0,7,91.1314
Unit 20,32.0,2,65.5573
Unit 2,38.0,15,87.3601
Unit 25,31.0,4,88.6155
Unit 208,34.0,3,61.9923
Unit 25,37.0,4,53.586
Unit 149,29.0,1,36.9639
Unit 19,35.0,2,68.809
Unit 174,29.0,3,97.0311
Unit 80,23.0,1,94.3258
Unit 16,32.0,5,99.6976
Unit 2,40.0,2,58.5648
Unit 20,39.0,2,83.5811
Unit 19,41.0,3,82.5428
Unit 80,28.0,6,68.0754
Unit 11,49.0,2,90.5353
Unit 22,54.0,1,42.693
Unit 7,44.0,2,53.5438
Unit 149,40.0,10,56.7744
Unit 208,30.0,2,60.7772
Unit 19,49.0,1,59.8213
Unit 35,31.0,2,91.7313
Unit 17,33.0,1,92.4955
Unit 6,52.0,1,98.3837
Unit 136,35.0,2,57.3383
Unit 10,41.0,1,97.1686
Unit 3,42.0,1,58.866
Unit 212,46.0,8,77.5672
Unit 11,31.0,2,96.8056
Unit 189,33.0,3,55.461
Unit 23,43.0,1,94.8798
Unit 12,27.0,5,82.3392
Unit 225,42.0,2,82.0947
Unit 80,51.0,4,33.5662
Unit 212,37.0,2,62.0429
Unit 8,49.0,2,77.2775
Unit 153,33.0,2,88.5904
Unit 6,51.0,2,52.3633
Unit 17,38.0,2,53.9534
Unit nan,52.0,2,59.6202
Unit 12,46.0,11,96.9012
Unit 85,37.0,5,46.4515
Unit 5,43.0,16,83.6384
Unit 3,49.0,3,91.124
Unit 21,50.0,3,50.557
Unit 155,39.0,1,44.6937
Unit 212,48.0,16,97.78
Unit 8,29.0,3,80.6862
Unit 7,26.0,1,94.0694
Unit 6,40.0,3,78.4175
Unit 4,34.0,2,98.9072
Unit 171,33.0,15,51.8322
Unit 22,51.0,4,68.1685
Unit 6,40.0,5,80.8567
Unit 119,28.0,3,99.9715
Unit 212,32.0,1,88.472
Unit 23,42.0,1,86.8557
Unit 204,51.0,2,31.3477
Unit 212,25.0,5,97.3979
Unit 208,28.0,2,89.5151
Unit 3,41.0,2,94.0889
Unit 5,54.0,1,51.8395
Unit 5,33.0,1,80.2453
Unit 175,37.0,1,74.7736
Unit 20,40.0,2,95.3001
Unit 181,32.0,1,77.1618
Unit 3,61.0,2,57.4338
Unit 15,34.0,2,92.1745
Unit 9,42.0,3,99.9146
Unit 149,30.0,2,92.5032
Unit 226,28.0,1,62.4737
Unit 10,34.0,14,88.3612
Unit 8,51.0,2,67.4105
Unit 42,25.0,2,38.7261
Unit 26,27.0,4,82.9735
